45.195247,-92.785559,Opheodrys vernalis,Smooth Greensnake,Reptilia,"Washington County, US-MN, US",greg_johnson
47.194445,-95.165253,Chrysemys picta,Painted Turtle,Reptilia,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125
47.194445,-95.165253,Chelydra serpentina,Common Snapping Turtle,Reptilia,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125
46.3526733,-94.2020084,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Brainerd, MN 56401, USA",trig125
46.7158627738,-92.2003180142,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Riverside, Duluth, MN, USA",skuross
47.9000527818,-92.5559159629,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"St Louis County, MN, USA",gonodactylus
43.7381349718,-91.9658690206,Aspidoscelis sexlineatus,Six-lined Racerunner,Reptilia,"Minnesota, US",jeff_leclere
47.0225966636,-92.613424309,Thamnophis sirtalis,Common Garter Snake,Reptilia,"St Louis County, MN, USA",ryangrow
45.253274,-93.107371,Plestiodon septentrionalis septentrionalis,Northern Prairie Skink,Reptilia,"Columbus, Minnesota, United States",squamatologist
47.7151809,-91.2679189,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Sawbill Landing, MN 55607, USA",mthieroff
45.3102900898,-92.6224760733,Plestiodon fasciatus,Common Five-lined Skink,Reptilia,"Minnesota, US",naturalistdave99
44.7807021319,-95.5082164128,Pantherophis ramspotti,Western Foxsnake,Reptilia,"Chippewa County, MN, USA",naturalistdave99
44.3146641297,-92.08420625,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",hselen
44.465319,-93.193792,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, United States",scottking
44.519263,-92.941962,Chrysemys picta,Painted Turtle,Reptilia,"Cannon Falls, Minnesota, United States",scottking
44.573575,-92.652384,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Red Wing, Minnesota, United States",scottking
43.9851666667,-92.5681666667,Pantherophis ramspotti,Western Foxsnake,Reptilia,"2500–2900 County Road 15 SW, Salem, MN, US",mathew2
44.919743819,-93.1190528901,Chelydra serpentina,Common Snapping Turtle,Reptilia,"West Side, St Paul, MN, USA",gordon_dietzman
45.380660603,-92.705039978,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Franconia Sculpture Park, USA",nannie
46.6654691873,-92.324246112,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Carlton County, MN, USA",gordon_dietzman
48.071349,-90.080537,Thamnophis sirtalis,Common Garter Snake,Reptilia,"3860 Arrowhead Trail, Hovland, MN 55606, USA",lincolndurey
44.9449911301,-93.4359660772,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Minnetonka, MN, USA",heatherholm
47.2364055226,-91.4077734947,Diadophis punctatus,Ring-necked Snake,Reptilia,"Lake County, MN, USA",gordonhommes
46.2807944497,-94.3386882583,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,Crow Wing State Park,figaro
45.4943150669,-93.6948394775,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Sherburne County, Minnesota, Verenigde Staten",rbeunen
47.8240848331,-92.1675572377,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Sint Louis County, Minnesota, Verenigde Staten",rbeunen
47.5429106063,-94.8167941639,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Beltrami County, MN, USA",figaro
44.8080107586,-93.2245168849,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Minnesota, US",paulearthman
