45.195247,-92.785559,Opheodrys vernalis,Smooth Greensnake,Reptilia,"b'Washington County, US-MN, US'",b'greg_johnson'
47.194445,-95.165253,Chrysemys picta,Painted Turtle,Reptilia,"b'36750 Main Park Drive, Park Rapids, MN 56470, USA'",b'trig125'
47.194445,-95.165253,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'36750 Main Park Drive, Park Rapids, MN 56470, USA'",b'trig125'
46.3526733,-94.2020084,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Brainerd, MN 56401, USA'",b'trig125'
46.7158627738,-92.2003180142,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Riverside, Duluth, MN, USA'",b'skuross'
47.9000527818,-92.5559159629,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'St Louis County, MN, USA'",b'gonodactylus'
43.7381349718,-91.9658690206,Aspidoscelis sexlineatus,Six-lined Racerunner,Reptilia,"b'Minnesota, US'",b'jeff_leclere'
47.0225966636,-92.613424309,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'St Louis County, MN, USA'",b'ryangrow'
45.253274,-93.107371,Plestiodon septentrionalis septentrionalis,Northern Prairie Skink,Reptilia,"b'Columbus, Minnesota, United States'",b'squamatologist'
47.7151809,-91.2679189,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Sawbill Landing, MN 55607, USA'",b'mthieroff'
45.3102900898,-92.6224760733,Plestiodon fasciatus,Common Five-lined Skink,Reptilia,"b'Minnesota, US'",b'naturalistdave99'
44.7807021319,-95.5082164128,Pantherophis ramspotti,Western Foxsnake,Reptilia,"b'Chippewa County, MN, USA'",b'naturalistdave99'
44.3146641297,-92.08420625,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'hselen'
44.465319,-93.193792,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, United States'",b'scottking'
44.519263,-92.941962,Chrysemys picta,Painted Turtle,Reptilia,"b'Cannon Falls, Minnesota, United States'",b'scottking'
44.573575,-92.652384,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Red Wing, Minnesota, United States'",b'scottking'
43.9851666667,-92.5681666667,Pantherophis ramspotti,Western Foxsnake,Reptilia,"b'2500\xc3\xa2\xe2\x82\xac\xe2\x80\x9c2900 County Road 15 SW, Salem, MN, US'",b'mathew2'
44.919743819,-93.1190528901,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'West Side, St Paul, MN, USA'",b'gordon_dietzman'
45.380660603,-92.705039978,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Franconia Sculpture Park, USA'",b'nannie'
46.6654691873,-92.324246112,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Carlton County, MN, USA'",b'gordon_dietzman'
48.071349,-90.080537,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'3860 Arrowhead Trail, Hovland, MN 55606, USA'",b'lincolndurey'
44.9449911301,-93.4359660772,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Minnetonka, MN, USA'",b'heatherholm'
47.2364055226,-91.4077734947,Diadophis punctatus,Ring-necked Snake,Reptilia,"b'Lake County, MN, USA'",b'gordonhommes'
46.2807944497,-94.3386882583,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,b'Crow Wing State Park',b'figaro'
45.4943150669,-93.6948394775,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Sherburne County, Minnesota, Verenigde Staten'",b'rbeunen'
47.8240848331,-92.1675572377,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Sint Louis County, Minnesota, Verenigde Staten'",b'rbeunen'
47.5429106063,-94.8167941639,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Beltrami County, MN, USA'",b'figaro'
44.8080107586,-93.2245168849,Plestiodon septentrionalis,Prairie Skink,Reptilia,"b'Minnesota, US'",b'paulearthman'
